Query	RS_Number	R2	GWAS_Trait	P_value	PMID
rs10051637	rs1559359	0.713681374544672	Diastolic blood pressure	7e-10	34594039
rs10051637	rs2548532	0.686071197025612	Externalizing behaviour (multivariate analysis)	5e-11	34446935
rs10051637	rs4869314	0.666535924332783	Arthritis (juvenile idiopathic)	3e-09	33106285
rs10051637	rs4869314	0.666535924332783	Neutrophil count	1e-10	34594039
rs10051637	rs4869314	0.666535924332783	White blood cell count	2e-07	30595370
rs10051637	rs1974871	0.640338183234995	Granulysin levels	5e-13	34648354
rs10051637	rs1019503	0.635726414243418	Systolic blood pressure	2e-06	33230300
rs10051637	rs1019503	0.635726414243418	Diastolic blood pressure	2e-14	33230300
rs10051637	rs1019503	0.635726414243418	Diastolic blood pressure	4e-11	33230300
rs10051637	rs1019503	0.635726414243418	Systolic blood pressure	1e-08	33230300
rs10051637	rs27660	0.632595139746782	Coronary artery disease	3e-08	35915156
rs10051637	rs3096168	0.628338499552842	Aspartate aminotransferase levels	8e-12	33547301
rs10055160	rs1168404	0.698759514927663	Blood urea nitrogen levels	5e-09	31152163
rs10055224	rs702689	0.766957491436935	Vertex-wise sulcal depth	2e-22	34910505
rs10055224	rs10061757	0.754302740913889	Height	4e-30	30595370
rs10055224	rs96844	0.738376409161938	Type 2 diabetes	5e-08	30297969
rs10055224	rs96844	0.738376409161938	Height	4e-33	36224396
rs10055224	rs9292122	0.706430203310568	Prostate cancer	5e-09	33398198
rs10055224	rs33320	0.623783869185502	Height	9e-14	36224396
rs10055224	rs2257505	0.617862609763219	Height	8e-192	36224396
rs1005577	rs2430691	0.611790589532881	Height	4e-44	36224396
rs10058476	rs2617439	0.975955243907605	Neutrophil count	8e-11	32888494
rs10058476	rs2549794	0.966455168294426	Crohn's disease	1e-10	21102463
rs10058476	rs2549794	0.966455168294426	Systolic blood pressure	1e-07	33230300
rs10058476	rs2549794	0.966455168294426	Diastolic blood pressure	1e-15	33230300
rs10058476	rs2549794	0.966455168294426	Diastolic blood pressure	2e-12	33230300
rs10058476	rs2549794	0.966455168294426	Systolic blood pressure	4e-10	33230300
rs10058476	rs38029	0.963808057391398	Smoking initiation (ever regular vs never regular) (MTAG)	8e-07	30643251
rs10058476	rs1363907	0.961223582953732	Crohn's disease	4e-16	26192919
rs10058476	rs1363907	0.961223582953732	Ulcerative colitis	4e-06	26192919
rs10058476	rs1363907	0.961223582953732	Inflammatory bowel disease	5e-15	26192919
rs10058476	rs1363907	0.961223582953732	Inflammatory bowel disease	6e-13	23128233
rs10058476	rs1363907	0.961223582953732	Inflammatory bowel disease	1e-10	28067908
rs10058476	rs1363907	0.961223582953732	Crohn's disease	1e-14	28067908
rs10058476	rs716848	0.930970982853388	Neutrophil percentage of white cells	2e-09	32888494
rs10058476	rs2548532	0.868182037227223	Externalizing behaviour (multivariate analysis)	5e-11	34446935
rs10058476	rs27660	0.799263720150241	Coronary artery disease	3e-08	35915156
rs10058476	rs1423357	0.798197239422085	General cognitive ability	9e-06	29844566
rs10058476	rs2432142	0.781422714392652	Neutrophil count	2e-14	32888493
rs10058476	rs2432142	0.781422714392652	White blood cell count	1e-11	32888493
rs10058476	rs38033	0.779648251036857	Blood protein levels	0	30072576
rs10058476	rs27293	0.769397939382987	Juvenile idiopathic arthritis (oligoarticular or rheumatoid factor-negative polyarticular)	7e-09	23603761
rs10058476	rs27293	0.769397939382987	Diastolic blood pressure	3e-11	35762941
rs10058476	rs7705093	0.762891107700031	Birdshot chorioretinopathy	2e-09	24957906
rs10058476	rs4869313	0.701024883558502	Pediatric autoimmune diseases	9e-08	26301688
rs10058476	rs2927608	0.700035757023862	Endoplasmic reticulum aminopeptidase 2 level in Chronic kidney disease with hypertension and no diabetes (8960_3)	7e-161	35870639
rs10058476	rs2927608	0.700035757023862	Endoplasmic reticulum aminopeptidase 2 levels (ERAP2.8960.3.3)	0	29875488
rs10058476	rs2927608	0.700035757023862	Endoplasmic reticulum aminopeptidase 2 levels	0	34648354
rs10058476	rs2910686	0.69773100285104	Neutrophil count	4e-14	32888493
rs10058476	rs2910686	0.69773100285104	Psoriasis	2e-08	23143594
rs10058476	rs2910686	0.69773100285104	Ankylosing spondylitis	5e-17	23749187
rs10058476	rs2910686	0.69773100285104	Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)	2e-21	26974007
rs10058476	rs1559359	0.638495633388354	Diastolic blood pressure	7e-10	34594039
rs10058476	rs1974871	0.629541482008549	Granulysin levels	5e-13	34648354
rs10058476	rs2549797	0.621933048962999	Systolic blood pressure	7e-07	33230300
rs10058476	rs2549797	0.621933048962999	Diastolic blood pressure	1e-14	33230300
rs10058476	rs2549797	0.621933048962999	Diastolic blood pressure	3e-11	33230300
rs10058476	rs2549797	0.621933048962999	Systolic blood pressure	4e-09	33230300
rs10058476	rs2549782	0.62092667055493	Systolic blood pressure	6e-07	33230300
rs10058476	rs2549782	0.62092667055493	Diastolic blood pressure	1e-14	33230300
rs10058476	rs2549782	0.62092667055493	Diastolic blood pressure	3e-11	33230300
rs10058476	rs2549782	0.62092667055493	Systolic blood pressure	5e-09	33230300
rs10058476	rs1056893	0.62042415556713	Systolic blood pressure	1e-06	33230300
rs10058476	rs1056893	0.62042415556713	Diastolic blood pressure	7e-15	33230300
rs10058476	rs1056893	0.62042415556713	Diastolic blood pressure	2e-11	33230300
rs10058476	rs1056893	0.62042415556713	Systolic blood pressure	7e-09	33230300
rs10061757	rs10061757	1	Height	4e-30	30595370
rs10061757	rs832540	0.77112510815175	Coronary artery disease	2e-08	29212778
rs10061757	rs33321	0.723553643086261	Height	1e-19	34594039
rs1006408	rs2224797	0.802008776817847	Red blood cell count	5e-08	30595370
rs1006408	rs2224797	0.802008776817847	Mean corpuscular hemoglobin	3e-09	30595370
rs10067659	rs13189973	0.942266842813238	Lymphocyte count	2e-16	32888493
rs10067659	rs2548499	0.628928344100221	Lymphocyte count	9e-14	32888494
rs10077945	rs1423357	0.992450509010109	General cognitive ability	9e-06	29844566
rs10077945	rs2432142	0.975757614544948	Neutrophil count	2e-14	32888493
rs10077945	rs2432142	0.975757614544948	White blood cell count	1e-11	32888493
rs10077945	rs38033	0.970919827723568	Blood protein levels	0	30072576
rs10077945	rs27293	0.965110458048628	Juvenile idiopathic arthritis (oligoarticular or rheumatoid factor-negative polyarticular)	7e-09	23603761
rs10077945	rs27293	0.965110458048628	Diastolic blood pressure	3e-11	35762941
rs10077945	rs7705093	0.95813228400691	Birdshot chorioretinopathy	2e-09	24957906
rs10077945	rs2910686	0.867857904204483	Neutrophil count	4e-14	32888493
rs10077945	rs2910686	0.867857904204483	Psoriasis	2e-08	23143594
rs10077945	rs2910686	0.867857904204483	Ankylosing spondylitis	5e-17	23749187
rs10077945	rs2910686	0.867857904204483	Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)	2e-21	26974007
rs10077945	rs2927608	0.864545796001235	Endoplasmic reticulum aminopeptidase 2 level in Chronic kidney disease with hypertension and no diabetes (8960_3)	7e-161	35870639
rs10077945	rs2927608	0.864545796001235	Endoplasmic reticulum aminopeptidase 2 levels (ERAP2.8960.3.3)	0	29875488
rs10077945	rs2927608	0.864545796001235	Endoplasmic reticulum aminopeptidase 2 levels	0	34648354
rs10077945	rs2617439	0.775647304033654	Neutrophil count	8e-11	32888494
rs10077945	rs2549797	0.772602160735554	Systolic blood pressure	7e-07	33230300
rs10077945	rs2549797	0.772602160735554	Diastolic blood pressure	1e-14	33230300
rs10077945	rs2549797	0.772602160735554	Diastolic blood pressure	3e-11	33230300
rs10077945	rs2549797	0.772602160735554	Systolic blood pressure	4e-09	33230300
rs10077945	rs2549782	0.771343929701745	Systolic blood pressure	6e-07	33230300
rs10077945	rs2549782	0.771343929701745	Diastolic blood pressure	1e-14	33230300
rs10077945	rs2549782	0.771343929701745	Diastolic blood pressure	3e-11	33230300
rs10077945	rs2549782	0.771343929701745	Systolic blood pressure	5e-09	33230300
rs10077945	rs1056893	0.770715657153161	Systolic blood pressure	1e-06	33230300
rs10077945	rs1056893	0.770715657153161	Diastolic blood pressure	7e-15	33230300
rs10077945	rs1056893	0.770715657153161	Diastolic blood pressure	2e-11	33230300
rs10077945	rs1056893	0.770715657153161	Systolic blood pressure	7e-09	33230300
rs10077945	rs2549794	0.766153877185298	Crohn's disease	1e-10	21102463
rs10077945	rs2549794	0.766153877185298	Systolic blood pressure	1e-07	33230300
rs10077945	rs2549794	0.766153877185298	Diastolic blood pressure	1e-15	33230300
rs10077945	rs2549794	0.766153877185298	Diastolic blood pressure	2e-12	33230300
rs10077945	rs2549794	0.766153877185298	Systolic blood pressure	4e-10	33230300
rs10077945	rs38029	0.763932918014473	Smoking initiation (ever regular vs never regular) (MTAG)	8e-07	30643251
rs10077945	rs1363907	0.761520260744161	Crohn's disease	4e-16	26192919
rs10077945	rs1363907	0.761520260744161	Ulcerative colitis	4e-06	26192919
rs10077945	rs1363907	0.761520260744161	Inflammatory bowel disease	5e-15	26192919
rs10077945	rs1363907	0.761520260744161	Inflammatory bowel disease	6e-13	23128233
rs10077945	rs1363907	0.761520260744161	Inflammatory bowel disease	1e-10	28067908
rs10077945	rs1363907	0.761520260744161	Crohn's disease	1e-14	28067908
rs10077945	rs716848	0.733159832579098	Neutrophil percentage of white cells	2e-09	32888494
rs10077945	rs4869313	0.721428092325927	Pediatric autoimmune diseases	9e-08	26301688
rs10077945	rs1559359	0.715194158152253	Diastolic blood pressure	7e-10	34594039
rs10077945	rs2548532	0.688433352750199	Externalizing behaviour (multivariate analysis)	5e-11	34446935
rs10077945	rs4869314	0.668193050039165	Arthritis (juvenile idiopathic)	3e-09	33106285
rs10077945	rs4869314	0.668193050039165	Neutrophil count	1e-10	34594039
rs10077945	rs4869314	0.668193050039165	White blood cell count	2e-07	30595370
rs10077945	rs1974871	0.641748507801945	Granulysin levels	5e-13	34648354
rs10077945	rs1019503	0.637486653902393	Systolic blood pressure	2e-06	33230300
rs10077945	rs1019503	0.637486653902393	Diastolic blood pressure	2e-14	33230300
rs10077945	rs1019503	0.637486653902393	Diastolic blood pressure	4e-11	33230300
rs10077945	rs1019503	0.637486653902393	Systolic blood pressure	1e-08	33230300
rs10077945	rs27660	0.634738715017868	Coronary artery disease	3e-08	35915156
rs10077945	rs3096168	0.63007435664691	Aspartate aminotransferase levels	8e-12	33547301
rs10079030	rs150621	0.905798350695151	Appendicular lean mass	5e-12	31761296
rs10079030	rs2098713	0.768373952997737	Telomere length	3e-06	24795349
rs10079030	rs757720522	0.646556267923001	Appendicular lean mass	3e-11	31761296
rs10102628	rs4413755	0.851443399348283	13-HODE + 9-HODE levels in elite athletes	3e-06	31882771
rs10103694	rs4413755	0.939868447282679	13-HODE + 9-HODE levels in elite athletes	3e-06	31882771
rs10112410	rs4413755	0.91935912958042	13-HODE + 9-HODE levels in elite athletes	3e-06	31882771
rs10113779	rs751680	0.715069862123934	Insomnia	7e-09	35835914
rs10113779	rs1059592	0.713241925763196	Type 2 diabetes	2e-08	32541925
rs10113779	rs6558173	0.640486990411114	Type 2 diabetes	7e-10	32541925
rs10127737	rs10465746	0.755176480935108	Obesity-related traits	8e-06	23251661
rs10127737	rs11580836	0.728502136328118	Body mass index	2e-09	36581621
rs10128996	rs2695294	0.888787074767771	Acid sphingomyelinase-like phosphodiesterase 3a levels (SMPDL3A.14086.11.3)	3e-38	29875488
rs10128996	rs2695295	0.888091051606141	Serum levels of protein NAAA	1e-68	35078996
rs10128996	rs2695295	0.888091051606141	Serum levels of protein SMPDL3A	8e-86	35078996
rs10128996	rs2559856	0.886582183859769	N-acylethanolamine-hydrolyzing acid amidase levels	4e-12	28240269
rs10128996	rs3809260	0.877479547403208	Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase levels	7e-32	34648354
rs10128996	rs2559851	0.818042871162199	Cathepsin F levels	2e-96	34648354
rs10128996	rs2559851	0.818042871162199	Carbohydrate sulfotransferase 9 levels	3e-12	34648354
rs10128996	rs2559850	0.704491725271537	Serum levels of protein CTSH	1e-19	35078996
rs10128996	rs2559850	0.704491725271537	Vitamin C levels	6e-20	33203707
rs10128996	rs2559850	0.704491725271537	Cathepsin L2 levels	1e-24	34648354
rs10128996	rs2559850	0.704491725271537	Islet amyloid polypeptide levels	1e-49	34648354
rs10128996	rs2559850	0.704491725271537	Glycosyltransferase-like protein LARGE1 levels	1e-17	34648354
rs10139435	rs4902352	0.621311693888621	Insulin levels	4e-06	34304350
rs10139435	rs4902352	0.621311693888621	Insulin levels	3e-07	34304350
rs10142533	rs10147992	0.988021380595423	White blood cell types	1e-08	21738478
rs10145845	rs7359095	0.617421055762594	Height (standard GWA)	5e-10	37106081
rs10155746	rs9469872	0.981604063837387	HDL cholesterol levels	3e-11	36333282
rs10155746	rs11755393	0.974561201443731	Body mass index	3e-26	29273807
rs10155746	rs11755393	0.974561201443731	Systemic lupus erythematosus	2e-12	33493351
rs10155746	rs11755393	0.974561201443731	Systemic lupus erythematosus	2e-06	33493351
rs10155746	rs11755393	0.974561201443731	Systemic lupus erythematosus	1e-07	33493351
rs10155746	rs11755393	0.974561201443731	Systemic lupus erythematosus	2e-08	19838195
rs10155746	rs11755393	0.974561201443731	Body mass index	4e-55	36581621
rs10155746	rs9366863	0.971282761779199	Adult body size	9e-33	32376654
rs10155746	rs9366863	0.971282761779199	Body mass index	2e-44	30595370
rs10155746	rs6941110	0.963384015555291	Sex hormone-binding globulin levels	5e-27	36653534
rs10155746	rs9462030	0.948746627471001	Red cell distribution width	5e-25	32888493
rs10155746	rs9469857	0.944104454508827	Systemic lupus erythematosus (MTAG)	9e-45	36750564
